OfficerID,CRID,Category,Allegation,Finding,Outcome,IncidentDate,Latitude,Longitude,Officer Gender,Officer Race,Officer Rank,Officer Age
11704,1074416,Use Of Force,Miscellaneous,Sustained,Unknown,2015,41.9385154,-87.7499605,F,White,Sergeant Of Police,42
19831,1078361,Illegal Search,Improper Search Of Person,No Affidavit,No Action Taken,2015,41.9386098,-87.7488453,M,White,Po As Detective,41
14213,1078361,Illegal Search,Improper Search Of Person,No Affidavit,No Action Taken,2015,41.9386098,-87.7488453,M,White,Police Officer,58
25008,1060056,Use Of Force,Unnecessary Display Of Weapon / On Duty,No Affidavit,No Action Taken,2013,41.9387659,-87.8010389,M,White,Police Officer,64
22258,1072812,Illegal Search,Search Of Premise Without Warrant,No Affidavit,No Action Taken,2014,41.9387677,-87.7666633,F,White,Police Officer,43
2255,1072812,Illegal Search,Search Of Premise Without Warrant,No Affidavit,No Action Taken,2014,41.9387677,-87.7666633,M,White,Po As Detective,40
12679,1083279,Use Of Force,Unnecessary Physical Contact / On Duty ,No Affidavit,Unknown,2016,41.9390993,-87.7121943,M,Hispanic,Police Officer,46
25292,1083279,Use Of Force,Unnecessary Physical Contact / On Duty ,No Affidavit,Unknown,2016,41.9390993,-87.7121943,M,Hispanic,Police Officer,49
23378,1083279,Use Of Force,Unnecessary Physical Contact / On Duty ,No Affidavit,Unknown,2016,41.9390993,-87.7121943,F,Hispanic,Police Officer,55
12049,1071185,Illegal Search,Improper Search Of Vehicle,No Affidavit,No Action Taken,2014,41.9391102,-87.7271788,M,Hispanic,Police Officer,35
8176,1071185,Illegal Search,Improper Search Of Vehicle,No Affidavit,No Action Taken,2014,41.9391102,-87.7271788,M,Hispanic,Sergeant Of Police,46
3643,1079116,Use Of Force,Civil Suits ,No Affidavit,Unknown,2014,41.9391313,-87.7887646,M,Hispanic,Police Officer,56
30939,1079116,Use Of Force,Civil Suits ,No Affidavit,Unknown,2014,41.9391313,-87.7887646,M,White,Police Officer,47
29031,1070735,Illegal Search,Improper Search Of Person,Unfounded,No Action Taken,2014,41.9394499,-87.6888597,M,Hispanic,Police Officer,48
12396,1074072,Illegal Search,Improper Search Of Vehicle,No Affidavit,No Action Taken,2015,41.9397813,-87.6531531,M,White,Police Officer,49
13308,1074072,Illegal Search,Improper Search Of Vehicle,No Affidavit,No Action Taken,2015,41.9397813,-87.6531531,M,White,Police Officer,54
29923,1066452,Use Of Force,Miscellaneous,Sustained,60 Day Suspension,2013,41.939783,-87.649118,M,White,Police Officer,58
30748,1089249,Use Of Force, Injury,Sustained,Unknown,2018,41.9397836,-87.6533925,F,Black,Police Officer,46
2667,1089249,Use Of Force, Injury,Sustained,Unknown,2018,41.9397836,-87.6533925,M,White,Police Officer,48
28958,1069800,Use Of Force, Use Of Firearm / On Duty ,Unknown,Unknown,2014,41.9398925,-87.7480954,M,White,Police Officer,45
27124,1087407,Use Of Force, Injury,Unknown,Unknown,2013,41.9399102,-87.6895309,M,White,Po As Detective,49
10660,1087407,Use Of Force, Injury,Unknown,Unknown,2013,41.9399102,-87.6895309,M,White,Po As Detective,46
31163,1068846,Illegal Search,Improper Search Of Vehicle,Unknown,Unknown,2014,41.9399102,-87.6895309,F,White,Po As Detective,44
15042,1068846,Illegal Search,Improper Search Of Vehicle,Unknown,Unknown,2014,41.9399102,-87.6895309,M,White,Po As Detective,48
29031,1067847,Use Of Force, Injury,Unfounded,No Action Taken,2014,41.9399102,-87.6895309,M,Hispanic,Police Officer,48
9989,1074833,Use Of Force, Injury,No Affidavit,No Action Taken,2015,41.9399102,-87.6895309,M,White,Po As Detective,56
14307,1076690,Use Of Force, No Injury,Unfounded,No Action Taken,2015,41.9399102,-87.6895309,M,White,Police Officer,42
270,1076690,Use Of Force, No Injury,Not Sustained,No Action Taken,2015,41.9399102,-87.6895309,M,Hispanic,Police Officer,61
9994,1076690,Use Of Force, No Injury,Unfounded,No Action Taken,2015,41.9399102,-87.6895309,M,White,Lieutenant Of Police,57
29200,1076690,Use Of Force, No Injury,Not Sustained,No Action Taken,2015,41.9399102,-87.6895309,M,White,Police Officer,52
4094,1076690,Use Of Force, No Injury,Unfounded,No Action Taken,2015,41.9399102,-87.6895309,M,Hispanic,Police Officer,40
21955,1075310,Use Of Force, No Injury,Unknown,Unknown,2015,41.9399102,-87.6895309,M,Asian/Pacific,Sergeant Of Police,41
23376,1085885,Illegal Search,Failure To Leave Notification,Unknown,Unknown,2017,41.9399102,-87.6895309,F,White,Police Officer,61
28652,1066348,Use Of Force, No Injury,No Affidavit,No Action Taken,2013,41.9399444,-87.6531476,M,Asian/Pacific,Police Officer,53
27097,1084824,Illegal Search,Improper Search Of Person,No Affidavit,Unknown,2017,41.940138,-87.649422,M,Black,Police Officer,46
3941,1069946,Use Of Force, Injury,No Affidavit,No Action Taken,2014,41.9402164,-87.6494631,M,Black,Police Officer,46
28747,1064723,Use Of Force, Injury,Unfounded,No Action Taken,2013,41.9402923,-87.6496198,M,Hispanic,Police Officer,51
21982,1082756,Use Of Force, Injury,No Affidavit,Unknown,2016,41.940325,-87.6512974,M,White,Police Officer,28
30082,1060286,Use Of Force,Unnecessary Physical Contact / On Duty ,Not Sustained,No Action Taken,2013,41.940779,-87.7473009,M,White,Police Officer,46
3941,1085509,Use Of Force, No Injury,Unfounded,Unknown,2015,41.941598,-87.647935,M,Black,Police Officer,46
24841,1069851,Use Of Force, Injury,Unfounded,No Action Taken,2014,41.9417192,-87.6477616,M,White,Police Officer,49
20035,1069851,Use Of Force, Injury,Unfounded,No Action Taken,2014,41.9417192,-87.6477616,M,White,Police Officer,41
26456,1070987,Use Of Force, Injury,No Affidavit,No Action Taken,2014,41.941728,-87.673004,M,White,Police Officer,48
30459,1068457,Use Of Force, Use Of Firearm / Off Duty ,No Affidavit,No Action Taken,2014,41.9419054,-87.6518995,F,White,Po As Detective,55
1039,1059284,Illegal Search,Improper Search Of Vehicle,No Affidavit,No Action Taken,2013,41.9419188,-87.7741804,M,White,Police Officer,52
854,1059284,Illegal Search,Improper Search Of Vehicle,No Affidavit,No Action Taken,2013,41.9419188,-87.7741804,M,White,Police Officer,50
