OfficerID,CRID,Category,Allegation,Finding,Outcome,IncidentDate,Latitude,Longitude,Officer Gender,Officer Race,Officer Rank,Officer Age
16891,1074861,Use Of Force, Injury,No Affidavit,No Action Taken,2015,41.957411,-87.7072767,M,White,Police Officer,54
29966,1074861,Use Of Force, Injury,No Affidavit,No Action Taken,2015,41.957411,-87.7072767,M,White,Police Officer,55
6652,1069342,Illegal Search,Improper Search Of Vehicle,No Affidavit,No Action Taken,2014,41.957719,-87.655818,M,Hispanic,Police Officer,32
23823,1069342,Illegal Search,Improper Search Of Vehicle,No Affidavit,No Action Taken,2014,41.957719,-87.655818,M,White,Po/Field Trning Off,42
23869,1074607,Illegal Search,Search Of Premise Without Warrant,No Affidavit,No Action Taken,2015,41.9579508,-87.7017695,M,White,Police Officer,37
5411,1074607,Illegal Search,Search Of Premise Without Warrant,No Affidavit,No Action Taken,2015,41.9579508,-87.7017695,M,Hispanic,Sergeant Of Police,38
21779,1081262,Use Of Force,Unnecessary Display Of Weapon / Off Duty,No Affidavit,Unknown,2016,41.9583429,-87.6923369,M,White,Police Officer,40
30322,1070978,Use Of Force, Injury,Unknown,Unknown,2014,41.958895,-87.733679,M,White,Po As Detective,52
15251,1061081,Use Of Force, Use Of Firearm / Off Duty ,Sustained,Suspended over 30 Days,2013,41.959196,-87.796868,M,White,Police Officer,41
2929,1071157,Illegal Search,Improper Search Of Vehicle,No Affidavit,No Action Taken,2014,41.9593765,-87.7183374,M,White,Po As Detective,46
29682,1084298,Use Of Force, Injury,No Affidavit,Unknown,2017,41.959547,-87.715884,M,Asian/Pacific,Police Officer,53
3803,1084298,Use Of Force, Injury,No Affidavit,Unknown,2017,41.959547,-87.715884,F,White,Police Officer,52
26693,1065597,Illegal Search,Improper Search Of Vehicle,Not Sustained,No Action Taken,2013,41.959597,-87.655995,M,White,Po As Detective,47
