Census Tract,Total Population,Majority White,Majority Black,Majority American Indian,Majority Asian,Majority Latino,Majority Pop,White,Black,American Indian,Asian,Latino
8284.02,4156,47.23,41.17,0,0.75,10.85,Majority White,1963,1711,0,31,451
8285.03,5214,24.45,63.02,0,1.19,11.33,Majority Black,1275,3286,0,62,591
8285.04,5997,24.76,66.03,0,0.37,8.84,Majority Black,1485,3960,0,22,530
8285.05,6734,46.05,41.05,0.49,0.7,11.72,Majority White,3101,2764,33,47,789
8285.06,9771,29.5,59.73,0,0.5,10.28,Majority Black,2882,5836,0,49,1004
8286.01,4047,72.1,19.13,0,1.61,7.17,Majority White,2918,774,0,65,290
8286.02,4573,43.14,50.91,0,1.55,4.4,Majority Black,1973,2328,0,71,201
8287.01,3931,27.65,62.05,2.77,0.64,6.89,Majority Black,1087,2439,109,25,271
8287.02,5324,22.61,68.63,0,0.08,8.68,Majority Black,1204,3654,0,4,462
8288.01,6592,43.86,40.46,0,1.84,13.85,Majority White,2891,2667,0,121,913
8288.02,4058,56.51,23.36,0,0,20.13,Majority White,2293,948,0,0,817
8289,3704,21.06,38.34,0,0.22,40.39,Majority Latino,780,1420,0,8,1496
8290,1329,1.96,96.01,0.53,0,1.5,Majority Black,26,1276,7,0,20
8291,4300,24.44,16.42,0.58,0,58.56,Majority Latino,1051,706,25,0,2518
8292,6755,40.98,16.85,0,0,42.18,Majority Latino,2768,1138,0,0,2849
8293.01,4140,33.99,53.38,0,0.8,11.84,Majority Black,1407,2210,0,33,490
8293.02,4001,10.05,58.34,0,0.05,31.57,Majority Black,402,2334,0,2,1263
8294.01,1176,5.02,85.29,0.6,0,9.1,Majority Black,59,1003,7,0,107
8294.02,3357,32.38,63.15,0,0,4.47,Majority Black,1087,2120,0,0,150
8295,4593,40.74,13.3,0,0,45.96,Majority Latino,1871,611,0,0,2111
8296,3253,68.58,8.88,0.4,1.35,20.78,Majority White,2231,289,13,44,676
8297,4220,17.35,75.05,0,1.04,6.56,Majority Black,732,3167,0,44,277
8298,6551,48.47,46.45,0.14,0.55,4.4,Majority White,3175,3043,9,36,288
8299.01,9747,35.28,51.54,0,0.75,12.42,Majority Black,3439,5024,0,73,1211
8299.02,6676,16.58,80.5,0,1.56,1.36,Majority Black,1107,5374,0,104,91
8300.01,2899,77.41,8.59,0,0.21,13.8,Majority White,2244,249,0,6,400
8300.03,7458,9.52,89.21,0,0.03,1.25,Majority Black,710,6653,0,2,93
8300.04,7679,7.45,88.21,0,0.61,3.72,Majority Black,572,6774,0,47,286
8300.05,4101,23.12,73.91,0,2.22,0.76,Majority Black,948,3031,0,91,31
8300.06,2155,33.41,59.35,0,1.25,5.99,Majority Black,720,1279,0,27,129
8300.07,5164,15.63,79.74,0,0.85,3.78,Majority Black,807,4118,0,44,195
8300.08,4427,8.61,88.3,0.23,1.45,1.42,Majority Black,381,3909,10,64,63
8301,2962,17.79,74.51,0,0,7.7,Majority Black,527,2207,0,0,228
8302.01,5548,14.44,81.67,0,2,1.89,Majority Black,801,4531,0,111,105
8302.02,3618,26.95,63.05,0.25,0.53,9.23,Majority Black,975,2281,9,19,334
8303,4888,21.64,75.41,0,0,2.95,Majority Black,1058,3686,0,0,144
8304,4461,34.05,56.96,0,0,8.99,Majority Black,1519,2541,0,0,401
8305,8300,42.58,0.52,0,0,56.9,Majority Latino,3534,43,0,0,4723
8306,6080,54.75,10.72,0.2,2.42,31.91,Majority White,3329,652,12,147,1940
8307,3938,50.66,34.76,0.33,3.48,10.77,Majority White,1995,1369,13,137,424
8308,2895,77.86,4.63,0.9,3.39,13.23,Majority White,2254,134,26,98,383
8309,3398,67.27,1.88,0.24,3,27.6,Majority White,2286,64,8,102,938
8310,2343,83.27,2.94,0,6.1,7.68,Majority White,1951,69,0,143,180
8311,11535,55.47,0.01,0,4.6,39.91,Majority White,6399,1,0,531,4604
8312,6857,30.09,5.16,0.15,0.42,64.18,Majority Latino,2063,354,10,29,4401
8313,1129,11.07,43.58,0.44,0,44.91,Majority Latino,125,492,5,0,507
8314,3184,17.37,59.55,0.53,0,22.55,Majority Black,553,1896,17,0,718
8315,5190,49.21,3.14,0,3.45,44.2,Majority White,2554,163,0,179,2294
8316,10251,43.11,4.48,0.71,1.79,49.92,Majority Latino,4419,459,73,183,5117
8317,3121,46.27,2.15,0.13,5.06,46.4,Majority Latino,1444,67,4,158,1448
8318,7180,52.35,3.41,0,22.58,21.66,Majority White,3759,245,0,1621,1555
8319,2892,86.62,0.97,0,5.53,6.88,Majority White,2505,28,0,160,199
8320,1892,85.68,1.85,0,6.29,6.18,Majority White,1621,35,0,119,117
8321,3475,69.01,16.63,1.06,5.29,8,Majority White,2398,578,37,184,278
8322,3658,77.39,1.89,0,3.14,17.58,Majority White,2831,69,0,115,643
8323,2483,69.15,1.61,0,7.77,21.47,Majority White,1717,40,0,193,533
8324,3595,63.67,4.31,0,6.06,25.95,Majority White,2289,155,0,218,933
8325,3962,83.97,6.28,0.71,1.36,7.67,Majority White,3327,249,28,54,304
8326,3700,89.35,0.78,0,5.7,4.16,Majority White,3306,29,0,211,154
8329,2425,75.84,2.72,0,13.11,8.33,Majority White,1839,66,0,318,202
8330,3674,73.73,10.86,0,7.68,7.73,Majority White,2709,399,0,282,284
8331,7886,65.05,11.24,0,15.29,8.42,Majority White,5130,886,0,1206,664
8333,2746,48.91,6.01,0,36.42,8.67,Majority White,1343,165,0,1000,238
8339,3363,26.64,42.88,0.12,0,30.36,Majority Black,896,1442,4,0,1021
8340,3010,2.56,94.19,0,1.1,2.16,Majority Black,77,2835,0,33,65
8342,4318,1.64,97.48,0,0,0.88,Majority Black,71,4209,0,0,38
8343,6391,1.61,96.76,0,0.59,1.03,Majority Black,103,6184,0,38,66
8344,4425,3.12,95.86,0,0.25,0.77,Majority Black,138,4242,0,11,34
8345,1245,0,100,0,0,0,Majority Black,0,1245,0,0,0
8346,2658,6.7,87.66,0,0.34,5.3,Majority Black,178,2330,0,9,141
8347,1802,6.66,81.52,0,3.27,8.55,Majority Black,120,1469,0,59,154
8348,1622,3.45,92.73,0,0,3.82,Majority Black,56,1504,0,0,62
8349,1826,1.37,98.25,0,0,0.38,Majority Black,25,1794,0,0,7
8350,6312,12.77,51.47,0,0.03,35.73,Majority Black,806,3249,0,2,2255
8351,7316,22.65,9.83,0.29,0.34,66.89,Majority Latino,1657,719,21,25,4894
8352,2352,47.75,0,0,1.57,50.68,Majority Latino,1123,0,0,37,1192
8355,1517,7.05,87.67,0,0,5.27,Majority Black,107,1330,0,0,80
8356,980,7.14,85.71,0,0,7.14,Majority Black,70,840,0,0,70
8357,592,0,100,0,0,0,Majority Black,0,592,0,0,0
8358,1704,4.58,93.49,0,0,1.94,Majority Black,78,1593,0,0,33
8359,2935,2.96,95.64,0,0.68,0.72,Majority Black,87,2807,0,20,21
8360,2637,2.43,96.51,0,0,1.06,Majority Black,64,2545,0,0,28
